"year","state","D_pv","R_pv","D_pv_lag1","D_pv_lag2","party","mean_1_wk_poll_support","quarter","GDP_growth_quarterly","unemployment","state_abb","grant_year","total_grant","vep_turnout","turnout_lag1","turnout_lag2","incumbent","incumbent_party","dem_party_incumbent","cons_shift","prec_turns","sc_interact","InitialCOVI"
1992,"Alaska",30.28711132,39.45749809,36.27096284,29.86777775,"DEM",33.6915172857143,4,4.2,7.36666666666667,"AK",1992,215.6698143,"67.10",57.3,62.1,0,FALSE,0,1,14,14,NA
1992,"Arizona",36.5204526,38.47314178,38.74387412,32.54264317,"DEM",33.0456397142857,4,4.2,7.36666666666667,"AZ",1992,777.3920723,"56.70",49.1,48.9,0,FALSE,0,1,14,14,NA
1992,"Arkansas",53.20795285,35.48339931,42.19173217,38.290785,"DEM",52.049395,4,4.2,7.36666666666667,"AR",1992,117.23318074,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"California",46.00658784,32.61466938,47.55944256,41.2677757,"DEM",48.9582438571429,4,4.2,7.36666666666667,"CA",1992,1858.1312681,"61.60",57.5,58.9,0,FALSE,0,1,14,14,NA
1992,"Colorado",40.12802865,35.86905263,45.28240432,35.1228983,"DEM",39.6215677142857,4,4.2,7.36666666666667,"CO",1992,187.02973639,"64.00",60.8,59.2,0,FALSE,0,1,14,14,NA
1992,"Connecticut",42.21857296,35.78324122,46.87451936,38.82998159,"DEM",44.091004,4,4.2,7.36666666666667,"CT",1992,1782.6532059,"69.80",61.4,64.8,0,FALSE,0,1,14,14,NA
1992,"Delaware",43.52392791,35.3266349,43.4777563,39.93212136,"DEM",40.2793668571429,4,4.2,7.36666666666667,"DE",1992,796.8540915,"58.30",54,58.4,0,FALSE,0,1,14,14,NA
1992,"Florida",38.99012156,40.90249694,38.50721693,34.66024697,"DEM",38.4770301428571,4,4.2,7.36666666666667,"FL",1992,466.31440833,"57.20",NA,NA,0,FALSE,0,1,14,14,NA
1992,"Georgia",43.46868534,42.87785319,39.49842844,39.78530524,"DEM",38.7939642857143,4,4.2,7.36666666666667,"GA",1992,139.09570492,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"Hawaii",48.09275779,36.69704593,54.26944008,43.81591563,"DEM",43.7187854285714,4,4.2,7.36666666666667,"HI",1992,1236.2741283,"48.20",49.8,50.3,0,FALSE,0,1,14,14,NA
1992,"Idaho",28.41921205,42.0325898,36.01064142,26.39221295,"DEM",28.7275842857143,4,4.2,7.36666666666667,"ID",1992,79.89036036,"66.90",63.1,63.7,0,FALSE,0,1,14,14,NA
1992,"Illinois",48.57967782,34.33746713,48.60455527,43.29655321,"DEM",47.088096,4,4.2,7.36666666666667,"IL",1992,330.22501433,"63.60",59.1,62.7,0,FALSE,0,1,14,14,NA
1992,"Indiana",36.79390564,42.90678013,39.68618767,37.68271379,"DEM",36.8469768571429,4,4.2,7.36666666666667,"IN",1992,178.23941437,"56.40",55.6,57.9,0,FALSE,0,1,14,14,NA
1992,"Iowa",43.28583862,37.27213871,54.71192398,45.8870818,"DEM",38.8831831428571,4,4.2,7.36666666666667,"IA",1992,92.31323323,"66.10",61.4,65.1,0,FALSE,0,1,14,14,NA
1992,"Kansas",33.73849414,38.8815246,42.55964489,32.59803658,"DEM",37.1857982857143,4,4.2,7.36666666666667,"KS",1992,68.60721384,"64.10",NA,NA,0,FALSE,0,1,14,14,NA
1992,"Kentucky",44.55114207,41.34088017,43.88359469,39.40124658,"DEM",43.2529315714286,4,4.2,7.36666666666667,"KY",1992,120.97365633,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"Louisiana",45.58453914,40.97089581,44.0645571,38.17539263,"DEM",38.148056,4,4.2,7.36666666666667,"LA",1992,320.52340664,"60.00",NA,NA,0,FALSE,0,1,14,14,NA
1992,"Maine",38.7667973,30.39062603,43.88353888,38.78104074,"DEM",34.2796682,4,4.2,7.36666666666667,"ME",1992,345.23156518,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"Maryland",49.81260519,35.62940269,48.19903427,47.01639086,"DEM",40.8941875714286,4,4.2,7.36666666666667,"MD",1992,790.9896392,"58.10",52.5,54.5,0,FALSE,0,1,14,14,NA
1992,"Massachusetts",47.54141093,29.02438796,53.22905149,48.43378267,"DEM",37.004768,4,4.2,7.36666666666667,"MA",1992,2433.8511442,"64.90",61.3,60.7,0,FALSE,0,1,14,14,NA
1992,"Michigan",43.77368748,36.37564792,45.67207835,40.23607594,"DEM",40.7899818571429,4,4.2,7.36666666666667,"MI",1992,415.3764509,"64.00",56.7,60.6,0,FALSE,0,1,14,14,NA
1992,"Minnesota",43.48465128,31.85083315,52.91283343,49.71884656,"DEM",41.6633884285714,4,4.2,7.36666666666667,"MN",1992,184.56085984,"73.90",68.8,70.9,0,FALSE,0,1,14,14,NA
1992,"Mississippi",40.76806414,49.68389467,39.06714459,37.42328159,"DEM",37.2064358571429,4,4.2,7.36666666666667,"MS",1992,133.51909141,"54.30",NA,NA,0,FALSE,0,1,14,14,NA
1992,"Missouri",44.07168576,33.92168178,47.85044916,39.97524933,"DEM",43.5992518571429,4,4.2,7.36666666666667,"MO",1992,144.79657832,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"Montana",37.63112452,35.12249655,46.19852656,38.17658185,"DEM",33.675058,4,4.2,7.36666666666667,"MT",1992,68.62140994,"70.40",66.7,68.2,0,FALSE,0,1,14,14,NA
1992,"Nebraska",29.40345416,46.59750036,39.19103807,28.80982686,"DEM",30.5936017142857,4,4.2,7.36666666666667,"NE",1992,53.046343391,"64.80",60.3,59.1,0,FALSE,0,1,14,14,NA
1992,"Nevada",37.35755,34.72679225,38.6841254,32.41934514,"DEM",35.2712422857143,4,4.2,7.36666666666667,"NV",1992,183.58494972,"54.60",46.1,44.8,0,FALSE,0,1,14,14,NA
1992,"New Hampshire",38.91179509,37.69142708,36.33449864,30.94516899,"DEM",39.2405087142857,4,4.2,7.36666666666667,"NH",1992,377.63185255,"67.00",57.8,56.6,0,FALSE,0,1,14,14,NA
1992,"New Jersey",42.95395912,40.58103346,42.59814238,39.19754794,"DEM",42.7669347142857,4,4.2,7.36666666666667,"NJ",1992,1229.1690558,"62.00",57.1,60.5,0,FALSE,0,1,14,14,NA
1992,"New Mexico",45.89884664,37.33846094,46.89357425,39.22643233,"DEM",42.0069855714286,4,4.2,7.36666666666667,"NM",1992,200.9816095,"55.00",53.4,54.6,0,FALSE,0,1,14,14,NA
1992,"New York",47.27630691,28.83974308,50.19497561,44.09238689,"DEM",49.4596992857143,4,4.2,7.36666666666667,"NY",1992,1870.9307759,"57.80",54,57.2,0,FALSE,0,1,14,14,NA
1992,"North Carolina",42.6533683,43.44280874,41.70631146,37.89196368,"DEM",40.9970922857143,4,4.2,7.36666666666667,"NC",1992,234.92995077,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"North Dakota",32.18350517,44.21597167,42.97200104,33.79896495,"DEM",32.8844404285714,4,4.2,7.36666666666667,"ND",1992,61.92066415,"68.10",66.2,67.2,0,FALSE,0,1,14,14,NA
1992,"Ohio",40.18128056,38.34661244,44.14684136,40.00319948,"DEM",42.6916697142857,4,4.2,7.36666666666667,"OH",1992,427.63260573,"62.50",57.3,60.3,0,FALSE,0,1,14,14,NA
1992,"Oklahoma",34.0247375,42.64574833,41.28165146,30.66714662,"DEM",37.4712657142857,4,4.2,7.36666666666667,"OK",1992,152.62116227,"63.50",53.1,55.5,0,FALSE,0,1,14,14,NA
1992,"Oregon",42.47885506,32.52721272,51.2781124,43.73968123,"DEM",40.2035401428571,4,4.2,7.36666666666667,"OR",1992,278.68702048,"69.90",62.3,66.4,0,FALSE,0,1,14,14,NA
1992,"Pennsylvania",45.14616487,36.12721052,48.3867405,45.98917667,"DEM",40.2522045714286,4,4.2,7.36666666666667,"PA",1992,648.5478715,NA,NA,NA,0,FALSE,0,1,14,14,NA
1992,"Rhode Island",47.04796356,29.02760469,55.63785459,48.01736466,"DEM",50.2875624285714,4,4.2,7.36666666666667,"RI",1992,1095.7258484,NA,57.6,60.6,0,FALSE,0,1,14,14,NA
1992,"South Carolina",42.76254117,46.99335673,37.58119855,35.56517151,"DEM",33.7378192857143,4,4.2,7.36666666666667,"SC",1992,275.52840755,"47.30",42.5,43.7,0,FALSE,0,1,14,14,NA
